,time,baseline,S^ case,S^ case 0,S^ all,S^2 probe 1,S^2 probe all,target,target
239,0.00112863,63.753513,63.753513,63.753513,63.753513,63.753513,63.753513,64.56882,64.56882
240,0.00112865,76.982056,74.89607,74.05386,82.91697,73.96585,79.67544,60.217014,60.217014
241,0.00112867,56.652805,56.652805,56.652805,56.652805,56.652805,56.652805,55.81101,55.81101
242,0.00112869,52.95723,52.95723,52.95723,52.95723,52.95723,52.95723,51.37888,51.37888
243,0.00112872,46.934788,46.934788,46.934788,46.934788,46.934788,46.934788,46.934788,46.934788
244,0.00112874,42.508812,42.508812,42.508812,42.508812,42.508812,42.508812,42.481907,42.481907
245,0.00112876,37.96026,37.96026,37.96026,37.96026,37.96026,37.96026,38.022434,38.022434
246,0.00112878,51.585403,48.85047,49.903,56.231575,50.32991,54.93036,33.56394,33.56394
247,0.00112881,27.614216,27.614216,27.614216,27.614216,27.614216,27.614216,29.114964,29.114964
248,0.00112883,23.92312,23.92312,23.92312,23.92312,23.92312,23.92312,24.681612,24.681612
249,0.00112885,20.271458,20.271458,20.271458,20.271458,20.271458,20.271458,20.271458,20.271458
250,0.00112887,16.543655,16.543655,16.543655,16.543655,16.543655,16.543655,15.88962,15.88962
251,0.0011289,10.914099,10.914099,10.914099,10.914099,10.914099,10.914099,11.546358,11.546358
252,0.00112892,22.9475,22.233847,22.03507,28.258179,23.52286,27.935705,7.2550983,7.2550983
253,0.00112894,3.7302206,3.7302206,3.7302206,3.7302206,3.7302206,3.7302206,3.0219445,3.0219445
254,0.00112896,0.2386256,0.2386256,0.2386256,0.2386256,0.2386256,0.2386256,-1.1452922,-1.1452922
255,0.00112899,-5.2368445,-5.2368445,-5.2368445,-5.2368445,-5.2368445,-5.2368445,-5.2368445,-5.2368445
256,0.00112901,-9.179926,-9.179926,-9.179926,-9.179926,-9.179926,-9.179926,-9.242216,-9.242216
257,0.00112903,-13.172855,-13.172855,-13.172855,-13.172855,-13.172855,-13.172855,-13.151152,-13.151152
258,0.00112905,-0.9544365,-2.6689394,-0.40066108,2.2129536,-1.8167027,1.3287604,-16.95535,-16.95535
259,0.00112908,-21.890478,-21.890478,-21.890478,-21.890478,-21.890478,-21.890478,-20.64505,-20.64505
260,0.0011291,-24.825953,-24.825953,-24.825953,-24.825953,-24.825953,-24.825953,-24.208282,-24.208282
261,0.00112912,-27.641386,-27.641386,-27.641386,-27.641386,-27.641386,-27.641386,-27.641386,-27.641386
262,0.00112914,-30.444572,-30.444572,-30.444572,-30.444572,-30.444572,-30.444572,-30.945097,-30.945097
263,0.00112917,-34.567898,-34.567898,-34.567898,-34.567898,-34.567898,-34.567898,-34.124054,-34.124054
264,0.00112919,-25.40448,-25.672014,-22.188393,-22.09646,-24.937315,-22.759743,-37.18289,-37.18289
265,0.00112921,-39.651337,-39.651337,-39.651337,-39.651337,-39.651337,-39.651337,-40.126007,-40.126007
