,time,spline,prediction probe,prediction case,prediction cases across domain,target
350,0.011389335,3063.88,3063.88,3063.88,3063.88,3436.437
351,0.011390948,1527.6401,2258.3003,678.08344,6062.3623,1527.6401
352,0.011392499,924.57434,924.57434,924.57434,924.57434,-433.3363
353,0.011393999,940.736,940.736,940.736,940.736,-2924.172
354,0.011395527,1264.9214,778.7695,1331.318,445.57513,1264.9214
355,0.011397089,1594.8901,1594.8901,1594.8901,1594.8901,-1798.3597
356,0.01139864,1553.6991,1553.6991,1553.6991,1553.6991,-6502.836
357,0.011400098,841.9996,1030.8707,1931.2762,-1625.6367,841.9996
358,0.011401518,-680.4797,-680.4797,-680.4797,-680.4797,5651.6323
359,0.011402987,-2879.273,-2879.273,-2879.273,-2879.273,475.3121
360,0.011404513,-5452.6797,-2727.7615,-6977.201,-1337.5554,-5452.6797
361,0.011406043,-7898.685,-7898.685,-7898.685,-7898.685,-9167.845
362,0.011407561,-9648.375,-9648.375,-9648.375,-9648.375,-9142.727
363,0.011409083,-10153.023,-9367.219,-9231.653,-4926.9478,-10153.023
364,0.011410624,-9046.258,-9046.258,-9046.258,-9046.258,-4730.024
365,0.011412176,-6914.39,-6914.39,-6914.39,-6914.39,-3605.8596
366,0.01141374,-4623.2656,-8984.18,-5815.44,-4177.8105,-4623.2656
367,0.011415297,-2846.2,-2846.2,-2846.2,-2846.2,-3153.4377
368,0.011416824,-1272.3779,-1272.3779,-1272.3779,-1272.3779,-4480.5312
369,0.011418341,667.10114,-878.8202,-3005.949,-2023.5167,667.10114
370,0.011419828,3224.5989,3224.5989,3224.5989,3224.5989,-3867.7031
371,0.011421283,5768.9556,5768.9556,5768.9556,5768.9556,6210.5073
