,time,spline,prediction probe,prediction one case,prediction all case,target
301,0.011283391,-2051.9805,-2051.9805,-2051.9805,-2051.9805,-5968.795
302,0.011284909,60.5369,60.5369,60.5369,60.5369,-1074.935
303,0.01128647,2390.0806,2420.069,384.8247,-135.91931,2390.0806
304,0.011288079,4247.8315,4247.8315,4247.8315,4247.8315,915.7759
305,0.01128969,5426.111,5426.111,5426.111,5426.111,1267.8228
306,0.011291315,5941.7837,5617.896,106.27234,531.31244,5941.7837
307,0.01129294,5817.4673,5817.4673,5817.4673,5817.4673,6781.885
308,0.011294547,5168.174,5168.174,5168.174,5168.174,4253.628
309,0.01129615,4117.479,7561.2563,49.225582,1915.4277,4117.479
310,0.011297741,2823.4053,2823.4053,2823.4053,2823.4053,1877.9243
311,0.011299336,1544.575,1544.575,1544.575,1544.575,2439.4087
312,0.011300944,579.26807,7313.575,122.80319,2697.0776,579.26807
313,0.011302533,114.133896,114.133896,114.133896,114.133896,-56.489746
314,0.011304105,-220.7607,-220.7607,-220.7607,-220.7607,-2461.232
315,0.011305697,-922.6304,5702.5405,299.73285,1791.962,-922.6304
316,0.011307309,-2271.031,-2271.031,-2271.031,-2271.031,-6193.1304
317,0.011308917,-3578.401,-3578.401,-3578.401,-3578.401,-3792.5444
318,0.011310529,-3934.7554,2640.6443,459.01093,376.49054,-3934.7554
319,0.011312151,-2775.8357,-2775.8357,-2775.8357,-2775.8357,-3108.3179
320,0.011313768,-1039.7162,-1039.7162,-1039.7162,-1039.7162,-2184.935
321,0.01131539,-26.560055,1633.34,58.96498,80.46134,-26.560055
322,0.011317046,-631.7698,-631.7698,-631.7698,-631.7698,1448.7524
323,0.011318743,-1930.4478,-1930.4478,-1930.4478,-1930.4478,-931.1617
324,0.011320404,-2365.2554,2176.8516,-87.62026,-126.60536,-2365.2554
325,0.011322033,-1004.86865,-1004.86865,-1004.86865,-1004.86865,-2536.8179
326,0.011323616,1199.1228,1199.1228,1199.1228,1199.1228,-696.3648
327,0.011325145,3007.3462,3356.205,20.167828,247.27524,3007.3462
328,0.011326657,3668.2917,3668.2917,3668.2917,3668.2917,2764.018
329,0.011328173,3464.484,3464.484,3464.484,3464.484,4060.1587
330,0.011329723,2907.151,4826.7534,68.41605,23.686705,2907.151
331,0.011331318,2443.8423,2443.8423,2443.8423,2443.8423,4075.3855
332,0.011332933,2146.1924,2146.1924,2146.1924,2146.1924,4612.6665
333,0.011334537,1970.7212,6110.4375,77.23871,1305.0382,1970.7212
334,0.011336156,1829.7716,1829.7716,1829.7716,1829.7716,-4878.099
335,0.011337767,1506.8644,1506.8644,1506.8644,1506.8644,-2234.4116
336,0.011339368,756.7212,5473.3257,59.804058,1641.6027,756.7212
337,0.011340957,-517.55115,-517.55115,-517.55115,-517.55115,-1202.4507
338,0.011342576,-1898.3417,-1898.3417,-1898.3417,-1898.3417,-2014.4976
339,0.011344248,-2763.5757,3950.9492,-35.37377,923.682,-2763.5757
340,0.011345893,-2613.3835,-2613.3835,-2613.3835,-2613.3835,1377.2837
341,0.011347519,-1856.9263,-1856.9263,-1856.9263,-1856.9263,3125.3777
342,0.011349136,-1065.0991,2980.5127,-57.722843,479.40405,-1065.0991
343,0.011350747,-645.8022,-645.8022,-645.8022,-645.8022,221.2134
344,0.011352366,-429.9221,-429.9221,-429.9221,-429.9221,2823.7915
345,0.011354011,-100.833496,2267.6396,-13.41266,-633.58514,-100.833496
346,0.011355686,508.667,508.667,508.667,508.667,-3047.021
347,0.011357293,860.79987,860.79987,860.79987,860.79987,-78.62256
348,0.011358829,399.3306,3523.246,125.20431,-1293.0735,399.3306
349,0.011360314,-1013.72864,-1013.72864,-1013.72864,-1013.72864,-3519.849
350,0.011361769,-2368.48,-2368.48,-2368.48,-2368.48,-2160.107
351,0.011363223,-2474.9897,3153.895,75.1981,-1732.6958,-2474.9897
352,0.011364687,-556.60223,-556.60223,-556.60223,-556.60223,99.979004
353,0.011366191,2413.521,2413.521,2413.521,2413.521,4306.807
354,0.011367786,4853.487,4052.0186,128.86855,-1321.6342,4853.487
355,0.011369443,5123.7764,5123.7764,5123.7764,5123.7764,-1328.3649
356,0.011371084,3787.8599,3787.8599,3787.8599,3787.8599,-4588.4585
357,0.011372725,2065.8464,5660.702,155.20117,-361.6306,2065.8464
358,0.011374321,1000.8637,1000.8637,1000.8637,1000.8637,7815.6045
